"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
"Microsoft Visual C++ 2005 Redistributable";"8.0.61001";"Microsoft Corporation";"06/03/2026";"4,8";"Registre";"doublon"
"Microsoft Visual C++ 2005 Redistributable (x64)";"8.0.56336";"Microsoft Corporation";"06/03/2026";"7,1";"Registre";"composant"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729";"9.0.30729";"Microsoft Corporation";"06/03/2026";"12,5";"Registre";"doublon"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148";"9.0.30729.4148";"Microsoft Corporation";"06/03/2026";"13,2";"Registre";"composant"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"9.0.30729.6161";"Microsoft Corporation";"09/03/2026";"13,2";"Registre";"composant"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148";"9.0.30729.4148";"Microsoft Corporation";"06/03/2026";"9,5";"Registre";"composant"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"9.0.30729.6161";"Microsoft Corporation";"06/03/2026";"10,2";"Registre";"composant"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"10.0.40219";"Microsoft Corporation";"09/03/2026";"15,2";"Registre";"composant"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"10.0.40219";"Microsoft Corporation";"20/03/2026";"13,7";"Registre";"composant"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"11.0.61030.0";"Microsoft Corporation";"-";"20,5";"Registre";"composant"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"11.0.61030.0";"Microsoft Corporation";"-";"17,4";"Registre";"composant"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";"06/03/2026";"12";"Registre";"main"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";"06/03/2026";"2";"Registre";"main"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";"06/03/2026";"9,7";"Registre";"main"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";"06/03/2026";"1,7";"Registre";"main"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660";"12.0.40660.0";"Microsoft Corporation";"-";"20,6";"Registre";"composant"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40660";"12.0.40660.0";"Microsoft Corporation";"-";"17,2";"Registre";"composant"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"11,5";"Registre";"main"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"2,5";"Registre";"main"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"9,2";"Registre";"main"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660";"12.0.40660";"Microsoft Corporation";"06/03/2026";"2";"Registre";"main"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"11,6";"Registre";"main"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.50.35719";"14.50.35719";"Microsoft Corporation";"23/03/2026";"2,3";"Registre";"main"
